ITI;Outcome;animal
4136.0;wrong;d
4340.0;reward;d
5955.0;reward;d
4012.0;wrong;d
4373.0;wrong;d
4760.0;wrong;d
4630.0;wrong;d
4756.0;reward;d
4117.0;wrong;d
4925.0;reward;d
5335.0;reward;d
3869.0;wrong;d
4934.0;wrong;d
4799.0;reward;d
4978.0;reward;d
7808.0;reward;d
6393.0;reward;d
4245.0;reward;d
3903.0;wrong;d
5037.0;reward;d
4773.0;wrong;d
4638.0;reward;d
3321.0;wrong;d
6009.0;reward;d
5143.0;reward;d
3539.0;wrong;d
4897.0;wrong;d
5187.0;reward;d
4095.0;wrong;d
6011.0;wrong;d
5720.0;reward;d
3747.0;wrong;d
5564.0;reward;d
5346.0;wrong;d
4268.0;reward;d
4220.0;wrong;d
4822.0;wrong;d
5143.0;wrong;d
5419.0;reward;d
3576.0;wrong;d
7066.0;reward;d
3800.0;wrong;d
5019.0;wrong;d
5144.0;wrong;d
5436.0;wrong;d
5232.0;reward;d
3825.0;reward;d
3255.0;reward;d
3187.0;wrong;d
7114.0;reward;d
5746.0;reward;d
5226.0;reward;d
7110.0;reward;d
5514.0;wrong;d
5112.0;wrong;d
4709.0;wrong;d
4577.0;wrong;d
5155.0;wrong;d
5700.0;wrong;d
5590.0;wrong;d
5635.0;reward;d
3896.0;wrong;d
5427.0;reward;d
6028.0;reward;d
4096.0;reward;d
3014.0;wrong;d
5332.0;reward;d
3838.0;wrong;d
4863.0;wrong;d
4805.0;reward;d
4885.0;reward;d
4637.0;wrong;d
4404.0;wrong;d
4876.0;wrong;d
179738.0;wrong;d
5956.0;reward;d
113818.0;wrong;d
4989.0;wrong;d
4635.0;wrong;d
5943.0;reward;d
4322.0;wrong;d
5146.0;wrong;d
5588.0;wrong;d
4781.0;wrong;d
4946.0;wrong;d
4906.0;reward;d
4430.0;wrong;d
4370.0;wrong;d
4598.0;wrong;d
4748.0;wrong;d
4873.0;reward;d
6144.0;reward;d
3198.0;wrong;d
4644.0;wrong;d
6830.0;reward;d
4178.0;reward;d
4287.0;wrong;d
5541.0;wrong;d
4427.0;wrong;d
5087.0;wrong;d
5509.0;reward;d
4390.0;reward;d
4207.0;reward;d
4377.0;reward;d
5354.0;reward;d
3316.0;wrong;d
-1241794.0;reward;d
4505.0;reward;d
3931.0;reward;d
4566.0;reward;d
3892.0;wrong;d
4413.0;wrong;d
5893.0;wrong;d
4712.0;wrong;d
4511.0;wrong;d
4186.0;reward;d
4038.0;reward;d
3696.0;reward;d
4481.0;reward;d
5226.0;reward;d
3448.0;reward;d
