animal;HitRate;p_trials;Trials;stimulus;task;date
b;0.5891089108910891;40;4041;reward;['wnoise','twitter'];2021-06-14 15:36:12
b;0.5965346534653465;50;4041;wrong;['wnoise','twitter'];2021-06-16 14:37:53
b;0.6163366336633663;60;4041;reward;['wnoise','twitter'];2021-06-21 14:30:24
b;0.7376237623762376;70;4041;reward;['wnoise','twitter'];2021-07-12 14:24:35
b;0.6757425742574258;80;4041;reward;['wnoise','twitter'];2021-07-14 10:16:40
b;0.6806930693069307;90;4041;reward;['wnoise','twitter'];2021-07-15 10:39:18
b;0.6361386138613861;100;4041;wrong;['wnoise','twitter'];2021-07-15 15:01:37
a;0.5714285714285714;10;1826;reward;['wnoise','twitter'];2021-05-30 13:39:41
a;0.6318681318681318;20;1826;wrong;['wnoise','twitter'];2021-05-31 15:44:53
a;0.6153846153846154;30;1826;wrong;['wnoise','twitter'];2021-06-02 14:11:56
a;0.5604395604395604;40;1826;reward;['wnoise','twitter'];2021-06-14 14:20:24
a;0.6373626373626373;50;1826;reward;['wnoise','twitter'];2021-06-15 14:20:38
a;0.6538461538461539;60;1826;reward;['wnoise','twitter'];2021-06-18 14:50:00
a;0.7637362637362637;70;1826;reward;['wnoise','twitter'];2021-06-24 15:21:38
a;0.7692307692307693;80;1826;reward;['wnoise','twitter'];2021-07-14 10:15:38
a;0.7692307692307693;90;1826;reward;['wnoise','twitter'];2021-07-15 10:44:13
a;0.7802197802197802;100;1826;wrong;['wnoise','twitter'];2021-07-16 12:33:11
k;0.1875;10;1440;reward;['wnoise','twitter'];2021-05-30 14:06:54
k;0.5416666666666666;20;1440;wrong;['wnoise','twitter'];2021-05-30 15:47:17
k;0.5486111111111112;30;1440;wrong;['wnoise','twitter'];2021-05-31 14:57:38
k;0.4861111111111111;40;1440;wrong;['wnoise','twitter'];2021-05-31 13:17:16
k;0.5972222222222222;50;1440;reward;['wnoise','twitter'];2021-05-31 13:35:56
k;0.6527777777777778;60;1440;wrong;['wnoise','twitter'];2021-06-01 12:24:42
k;0.7430555555555556;70;1440;wrong;['wnoise','twitter'];2021-06-01 11:44:19
k;0.7013888888888888;80;1440;reward;['wnoise','twitter'];2021-06-01 11:54:17
k;0.7013888888888888;90;1440;reward;['wnoise','twitter'];2021-06-02 11:11:38
k;0.7222222222222222;100;1440;reward;['wnoise','twitter'];2021-06-02 11:24:24
d;0.7774193548387097;10;3109;reward;['wnoise','twitter'];2021-02-19 11:26:39
